Date,Time,Depth of Airgun(m),Depth of Reciever(m),X Airgun,Y Airgun,Z Airgun,X_R1,Y_R1,Z_R1,Peak_Index,T90_1,T90_2,T90_3,T90_4,T90_5,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6553.4,285.2,9,1879,0.824,0.768,0.706,0.602,0.804,162.3527,159.0662,158.6073,149.8622,162.6266,161.512,157.9198,157.0954,147.6581,161.6792,62.711,59.4868,58.964,57.445,62.887,128.7405,122.209,121.1731,118.0863,129.0939
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6542.7,278.9,9,1880,0.884,0.784,0.738,0.622,0.864,160.8499,157.0944,156.6456,146.1274,161.035,160.3144,156.0376,155.3262,144.0653,160.4001,62.4163,58.301,58.2282,56.9542,62.5704,128.148,119.8504,119.726,117.2394,128.46
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6532,272.5,9,1882,0.846,0.772,0.724,0.764,0.844,159.803,156.9849,156.535,145.507,159.9383,159.0767,155.861,155.1324,144.338,159.2017,62.8251,62.6716,61.6981,61.5112,63.7617,128.8733,128.5627,126.6162,126.2429,130.7452
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6521.3,266.2,9,1883,0.84,0.774,0.714,0.63,0.838,159.8982,156.2801,155.9986,145.2877,159.9982,159.141,155.1675,154.5355,143.2811,159.2307,62.1639,59.6079,58.7669,57.9806,62.4539,127.6218,122.4411,120.7748,119.2109,128.1953
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6510.6,260,9,1885,0.832,0.774,0.73,0.82,0.826,160.4339,156.9227,156.4791,143.8607,160.5416,159.6351,155.8101,155.1124,142.9988,159.7114,62.7144,60.6722,59.3662,58.1438,62.9565,128.6817,124.5664,121.97,119.5384,129.1652
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6499.8,253.7,9,1886,0.836,0.894,0.764,0.876,0.836,161.5895,157.0037,156.95,144.4596,161.6609,160.8116,156.5171,155.7809,143.8846,160.8829,62.9749,60.0845,59.3835,56.6498,63.1186,129.2497,123.4167,122.0617,114.2829,129.5434
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6489,247.5,9,1887,0.838,0.948,0.808,0.906,0.844,161.7364,157.0887,156.971,144.7031,161.7871,160.9688,156.8568,156.0451,144.2744,161.0505,62.8705,60.4834,59.9228,56.9251,63.1053,129.0507,124.2143,123.1359,114.9094,129.5262
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6478.2,241.4,9,1889,0.832,0.948,0.78,0.906,0.836,161.7507,157.5446,157.6448,146.4634,161.8555,160.9519,157.3127,156.5657,146.0347,161.0776,62.6341,59.9725,59.4438,57.0477,62.8237,128.5857,123.1837,122.1522,115.0452,128.9706
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6467.4,235.2,9,1891,0.808,0.916,0.76,0.914,0.814,162.2502,158.1249,158.0038,145.6178,162.3071,161.3243,157.7438,156.8119,145.2272,161.4133,62.8562,60.1275,59.6109,56.6715,62.9894,128.9853,123.4832,122.4601,114.468,129.2566
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6456.5,229.2,9,1892,0.76,0.772,0.71,0.862,0.77,162.8714,160.2244,159.9272,151.6961,163.1474,161.6795,159.1005,158.4398,151.0512,162.0123,62.7786,60.3517,59.9068,57.4915,62.9562,128.8067,123.9306,123.0478,115.9687,129.1678
