Line,Tape,File,Date,Time,Depth_at_Airgun(m),Depth_at_Reciever(m),X_Airgun,Y_Airgun,Z_Airgun,X_R1,Y_R1,Z_R1,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SEL_6,SEL_7,SEL_8,SEL_9,SEL_10,SEL_11,SEL_12,SEL_13,SEL_full
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3576.9,-52.6,9,159.2471,169.5579,179.7179,182.5922,182.6678,179.7974,172.712,168.1182,172.0117,167.9327,157.338,155.5667,144.5629,186.1052
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3589.4,-52.8,9,159.247,169.3435,179.6386,182.5218,182.5496,179.6505,172.84,167.7871,170.3725,166.3992,156.086,151.6979,143.3767,185.9524
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3601.9,-53,9,159.2782,169.3555,179.663,182.5407,182.5513,179.689,173.5315,168.5958,170.3516,165.9877,156.4684,152.2253,144.4447,186.0018
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3614.4,-53.2,9,159.1004,169.1036,179.5141,182.3438,182.323,179.3266,173.2371,168.3964,169.2776,165.1206,155.5472,150.8872,143.5276,185.749
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3626.9,-53.4,9,159.1861,169.1503,179.6605,182.5113,182.5801,179.7016,173.7814,168.7962,170.9212,166.7688,156.6771,153.2913,145.2667,186.0291
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3639.4,-53.6,9,157.1138,167.0869,177.5401,180.3636,180.4021,177.4666,171.8548,166.9008,168.0783,163.9173,154.2872,156.4354,143.8589,183.8568
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3651.9,-53.8,9,157.4056,167.5219,178.0016,180.9342,181.0604,178.1815,173.0544,168.3402,169.033,165.046,155.2902,149.7187,143.3612,184.5076
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3664.4,-54.1,9,157.1567,167.6046,177.7722,180.57,180.6217,177.7924,172.9155,169.0782,168.5229,164.6817,163.7662,152.1721,148.6103,184.2209
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3676.9,-54.3,9,158.7952,168.7027,178.3219,180.9729,180.9231,177.8789,172.9716,168.5396,168.4009,164.6925,160.9218,158.8336,155.011,184.5445
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3689.4,-54.5,9,152.5988,163.2747,173.6391,177.2483,177.7526,175.4431,171.4318,168.1186,168.3178,165.0717,162.5733,160.7839,158.2014,181.4554
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3701.9,-54.7,9,150.5591,161.078,172.2762,175.591,176.0927,173.8649,169.9095,165.9672,168.0361,164.0719,156.8093,154.8386,148.5107,179.8262
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3714.3,-54.9,9,140.9428,151.9379,163.7462,167.4917,168.3599,166.7917,163.188,159.886,161.8037,157.3794,152.0847,146.8043,142.0961,172.3022
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3726.8,-55.1,9,157.4106,167.5886,178.2459,180.796,180.3938,177.3881,171.8295,167.8319,170.1098,164.2933,156.0669,151.5143,144.4355,184.1748
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3739.3,-55.2,9,153.5272,164.0424,174.9823,177.6881,177.4633,174.5935,169.0645,165.7117,169.0495,163.7277,155.524,151.2242,144.3317,181.2644
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3751.8,-55.4,9,156.8192,167.2814,177.7632,180.2416,179.7746,176.598,170.3679,168.0112,170.6732,165.3225,160.905,153.5827,145.8195,183.6361
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3764.3,-55.5,9,154.1224,164.9415,175.7875,178.3978,178.1296,175.1614,168.5552,167.3421,170.7247,164.6617,157.0338,150.1643,147.3012,182.0034
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3776.8,-55.6,9,157.878,168.2948,178.4613,180.6551,179.9017,176.5222,169.6061,167.7991,171.7041,166.0399,159.2342,151.2813,145.8397,183.9459
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3789.3,-55.8,9,159.1605,169.3847,179.3381,181.3985,180.4648,176.8523,169.846,168.0323,172.3672,166.7833,157.3471,153.3919,145.8901,184.5918
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3801.8,-55.9,9,159.1028,169.5369,179.4848,181.5188,180.5506,177.022,169.7193,168.1211,171.8031,166.2018,155.4606,150.9569,143.0348,184.6729
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3814.3,-55.9,9,159.3334,169.8673,179.7818,181.8454,180.9498,177.5674,170.6432,168.3859,172.2008,167.387,158.0926,154.3834,143.2613,185.0651
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3826.8,-56,9,159.0132,169.5748,179.4094,181.4636,180.6578,177.5325,170.7677,167.9896,171.1945,166.0809,156.2869,150.5805,144.242,184.7355
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3839.3,-56.1,9,158.9766,169.5511,179.3824,181.4576,180.737,178.0461,172.5846,167.7353,170.8148,166.8349,159.2407,155.3646,145.449,184.8754
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3851.8,-56.2,9,86.2757,99.4147,106.4133,109.9265,111.3615,112.2052,112.7843,113.8823,114.812,116.3728,117.0196,117.475,115.7253,123.5425
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3864.3,-56.3,9,158.0424,168.6101,178.194,180.2939,179.6549,177.1934,172.2374,167.1588,167.5755,162.9437,155.4157,152.9089,145.7265,183.7556
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3876.9,-56.4,9,158.2017,168.8378,178.3265,180.3742,179.707,177.3711,172.539,168.1281,167.2768,161.6429,156.8405,148.6322,142.4445,183.8682
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3889.4,-56.5,9,157.9776,168.7902,178.3152,180.4247,179.7007,177.2405,172.3094,167.8877,167.7048,161.6487,156.5136,150.8174,146.9049,183.8399
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3901.9,-56.6,9,137.9435,150.1468,161.4205,164.9252,165.7901,164.8941,161.4614,159.0861,160.9176,155.8285,152.6279,145.6278,142.6079,170.1978
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3914.4,-56.7,9,156.8619,168.5442,177.7022,179.9367,179.401,176.925,171.612,167.8713,168.6945,163.0207,161.2411,151.1941,146.1097,183.4599
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3926.9,-56.8,9,154.5576,166.232,176.1834,178.7602,178.3586,175.735,170.0956,167.2108,168.8987,163.3094,161.8517,150.8233,146.0669,182.3047
